127.336, 129.504, 1.303, 114.277 False
127.170, 129.503, 1.860, 114.359 False
126.993, 129.502, 2.289, 114.759 False
126.733, 129.500, 2.793, 115.159 False
126.423, 129.499, 3.292, 115.559 False
126.064, 129.497, 3.783, 115.651 False
125.690, 129.495, 4.230, 116.051 False
125.239, 129.493, 4.704, 116.451 False
124.741, 129.490, 5.171, 116.851 False
124.197, 129.488, 5.627, 117.251 False
123.608, 129.485, 6.074, 117.651 False
122.975, 129.482, 6.513, 118.051 False
122.299, 129.479, 6.942, 118.451 False
121.580, 129.477, 7.363, 118.851 False
120.823, 129.474, 7.712, 119.251 False
120.047, 129.475, 7.775, 119.651 False
119.287, 129.475, 7.514, 120.051 False
118.565, 129.474, 7.077, 120.451 False
117.893, 129.474, 6.548, 120.851 False
117.275, 129.475, 5.976, 120.926 False
116.845, 129.475, 5.559, 121.326 False
116.320, 129.475, 5.061, 121.392 False
116.001, 129.475, 4.748, 121.792 False
115.551, 129.475, 4.323, 121.884 False
115.174, 129.475, 3.971, 122.284 False
114.794, 129.475, 3.669, 122.356 False
114.537, 129.476, 3.465, 122.756 False
114.200, 129.476, 3.283, 122.828 False
113.966, 129.476, 3.210, 123.228 False
113.644, 129.476, 3.195, 123.288 False
113.452, 129.477, 3.193, 123.688 False
113.131, 129.477, 3.197, 123.774 False
112.856, 129.477, 3.181, 124.174 False
112.539, 129.478, 3.147, 124.242 False
112.324, 129.478, 3.145, 124.642 False
112.008, 129.479, 3.157, 124.697 False
111.834, 129.479, 3.137, 125.097 False
111.530, 129.479, 2.976, 125.175 False
111.306, 129.480, 2.796, 125.575 False
111.043, 129.480, 2.546, 125.627 False
110.916, 129.480, 2.416, 126.027 False
110.689, 129.481, 2.174, 126.083 False
110.572, 129.481, 2.046, 126.483 False
110.381, 129.481, 1.833, 126.548 False
110.267, 129.482, 1.706, 126.948 False
110.107, 129.482, 1.526, 127.003 False
110.026, 129.482, 1.434, 127.403 False
109.891, 129.482, 1.282, 127.464 False
109.816, 129.482, 1.198, 127.864 False
109.704, 129.483, 1.071, 127.924 False
109.642, 129.483, 1.001, 128.324 False
109.548, 129.483, 0.895, 128.385 False
109.495, 129.483, 0.836, 128.785 False
109.416, 129.483, 0.748, 128.842 False
109.375, 129.483, 0.701, 129.242 False
109.309, 129.487, 0.624, 129.289 False
109.280, 129.487, 0.591, 129.689 False
109.224, 129.487, 0.529, 129.745 False
109.196, 129.487, 0.498, 130.145 False
109.149, 129.487, 0.445, 130.198 False
109.126, 129.487, 0.419, 130.598 False
109.087, 129.488, 0.375, 130.644 False
109.070, 129.488, 0.356, 131.044 False
109.036, 129.488, 0.319, 131.095 False
109.020, 129.488, 0.301, 131.495 False
108.992, 129.488, 0.269, 131.552 False
108.977, 129.488, 0.253, 131.952 False
108.953, 129.488, 0.226, 131.992 False
108.944, 129.488, 0.216, 132.392 False
108.924, 129.488, 0.193, 132.439 False
108.915, 129.488, 0.183, 132.839 False
108.898, 129.487, 0.161, 132.885 False
108.891, 129.486, 0.154, 133.285 False
108.876, 129.486, 0.138, 133.333 False
108.870, 129.486, 0.131, 133.733 False
108.857, 129.486, 0.117, 133.777 False
108.852, 129.486, 0.112, 134.177 False
108.842, 129.486, 0.100, 134.224 False
108.837, 129.486, 0.095, 134.624 False
108.828, 129.486, 0.085, 134.677 False
108.824, 129.486, 0.080, 135.077 False
108.817, 129.486, 0.072, 135.119 False
108.814, 129.486, 0.068, 135.519 False
108.810, 129.486, 0.002, 135.567 False
108.809, 129.486, 0.016, 135.967 False
108.806, 129.486, 0.038, 136.004 False
108.804, 129.486, 0.041, 136.404 False
108.800, 129.486, 0.044, 136.457 False
108.797, 129.486, 0.044, 136.857 False
108.793, 129.486, 0.041, 136.909 False
108.791, 129.486, 0.040, 137.309 False
108.787, 129.486, 0.036, 137.356 False
108.786, 129.486, 0.035, 137.756 False
108.782, 129.486, 0.031, 137.807 False
